Counts,Year,Month,Narrow Money,Money Supply M3,Net Foreign Assets,Net Domestic Credit,Credit to Government,Credit to Private Sector,Base Money,Currency in Circulation,Bank Reserves,Currency Outside Banks,Demand Deposits,Quasi Money,Net Domestic Assets,Credit To GovernmentFed,Mirror Accounts,Other Assets Net,Money Supply M2,CBN Bills,Special Intervention Reserves
1,2022,1,18589692.22,45194945.63,8386366.23,50088061.91,14903925.4,35184136.51,13608456.25,3288027.6,10320428.65,2779750.75,15809941.47,26499465.42,36808579.4,0,0,5799144.58,45089157.64,105787.99,384377.56
2,2022,2,18897327.74,44740264.88,8458893.96,50707660.59,14721135.97,35986524.62,13635912.33,3250188.89,10385723.44,2723657.37,16173670.37,25842010.17,36655135.1,0,0,6915462.9,44739337.92,926.96,384377.56
3,2022,3,19610356.83,45664828.96,7563818.91,52787060.85,16319660.37,36467400.48,14301768.29,3245597.55,11056170.74,2714074.02,16896282.81,26053549.08,38101010.05,0,0,6965628.82,45663905.91,923.05,384377.56
4,2022,4,19821327.97,47147578.65,7516045.31,54296180.59,16847655.48,37448525.11,14376820.88,3350615.22,11026205.66,2833752.73,16987575.24,27325317.22,39631533.34,0,0,6450900.21,47146645.19,933.46,384377.56
5,2022,5,20619559.3,48577983.22,7133673.69,56950238.56,18269043.74,38681194.82,14534947.97,3331796.22,11203151.75,2764827.76,17854731.54,27957435.07,41444309.53,0,0,6774667.29,48576994.38,988.85,384377.56
6,2022,6,20561700.36,48514495.3,7120303.91,56506223.69,18049373.09,38456850.6,14265730.18,3330863.86,10934866.33,2763895.4,17797804.96,28405330.1,41394191.39,0,0,6266610.12,48513506.45,988.85,384377.56
7,2022,7,20372771.97,48259383.42,4870595.31,59955871.77,20086365.97,39869505.79,14026886.11,3242600.24,10784285.87,2721542.54,17651229.43,27885717.59,43388788.11,0,0,6870371.73,48258489.56,893.86,317234.17
8,2021,1,15855542.74,38737379.48,7606156.57,42492010.49,12085727.76,30406282.73,13264907.99,2831167.19,10433417.96,2358724.24,13496818.5,21688948.63,31131222.9,0,0,4672612.93,37544491.37,1192888.11,317234.17
9,2021,2,16484070.12,38796566.64,8403538.47,43091736.2,12586130.06,30505606.14,13395207.29,2779831.6,10615312.5,2319993.77,14164076.35,21615357.14,30393028.17,0,0,5543654.15,38099427.26,697139.38,317234.17
10,2021,3,16138206.97,38720379.46,6725973.17,43503924.95,12066876.87,31437048.08,13338122.26,2808734.33,10529324.74,2305664.2,13832542.77,13832542.77,31994406.29,0,0,4296428.49,38288212.81,432166.65,317234.17
11,2021,4,15995932.43,39151453.58,6782878.02,44134011.03,12236471.93,31897539.1,13202697.77,2796471.37,10406163.21,2302191.18,13693741.25,22467042.61,32368575.56,0,0,4044784.32,38462975.04,688478.54,317234.17
12,2021,5,16256641.72,39856996.98,7356458.68,44669259.81,12552025.37,32117234.44,13064088.63,2790895.5,10273129.95,2316426.36,13940215.36,22436331.56,32500538.3,0,0,4499169.08,38692973.28,1164023.7,317234.17
13,2021,6,16024393.65,39510562.98,7292245.73,44219415.3,11593876.28,32625539.02,12333852.25,2741262.67,9592526.39,2248185.2,13776208.45,22838659.57,32218317.25,0,0,4164123.41,38863053.22,647509.76,317234.17
14,2021,7,16261001.44,39752888.62,7472444.74,44985372.12,12124740.08,32860632.04,12830875.69,2812103.48,10018772.22,2369639.06,13891362.38,23472555.28,32280443.88,0,0,4656099.05,39733556.72,19331.91,317234.17
15,2021,8,16426893.61,40945143.77,8200646.92,46009146,12567398.2,33441747.8,12866701.88,2778706.01,10135805.92,2312069.53,14114824.09,24383199.21,32744496.85,0,0,5112263.92,40810092.82,135050.94,365044.23
16,2021,9,15961286.61,40450136.09,5807745.38,46941916.24,13005389.1,33936527.14,12905941.24,2837063.77,10116687.53,2371567.68,13589718.92,24487916.19,34642390.7,0,0,3914861.09,40449202.79,933.29,365044.23
