Year,Period,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,MiningAndQuarrying,CrudePetroleumAndNaturalGas,CoalMining,MetalOres,QuarryingAndOtherMinerals,Manufacturing,OilRefining,Cement,FoodBeverageAndTobacco,TextileApparelAndFootwear,WoodAndWoodProducts,PulpPaperAndPaperProducts,ChemicalAndPharmaceuticalProducts,NonMetallicProducts,PlasticAndRubberProducts,ElectricalAndElectronics,BasicMetalIronAndSteel,MotorVehiclesAndAssembly,OtherManufacturing,ElectricityGasSteamAndAirCon,WaterSupplySewageWaste,Construction,Services,Trade,AccommodationAndFoodServices,TransportationAndStorage,RoadTransport,RailTransportAndPipelines,WaterTransport,AirTransport,TransportServices,PostAndCourierServices,InformationAndCommunication,Publishing,MotionPicturesSoundRecordingAndMusicProduction,Broadcasting,ArtsEntertainmentAndRecreation,FinanceAndInsurance,FinancialInstitutions,Insurance,RealEstate,ProfessionalScientificAndTechnicalServices,AdministrativeAndSupportServicesBusinessServices,PublicAdministration,Education,HumanHealthAndSocialServices,OtherServices,GDPatCurrentBasicPrices,NetTaxesOnProducts,GDPatCurrentMarketPrices
1981,Annual,17.05,12.82,2.53,1.16,0.55,54.67,13.12,5.92,5.33,1,0.88,28.23,0.09,1.93,18.37,2.82,0.99,0.19,0.2,0.48,0.27,0.02,0.62,0.17,2.08,0.8,2.28,10.24,66.2,12.49,0.84,5.76,2.61,1.04,0.7,0.69,0.08,0.63,16.29,0.06,0.58,15.11,0.04,7.75,4.8,2.94,5.24,2.59,0.02,9.09,3.4,1.62,1.08,137.93,1.38,139.31
1982,Annual,20.13,14.32,3.96,1.17,0.67,51.88,9.13,4.93,2.57,0.76,0.86,30.31,0.09,2.55,19.54,3,1.05,0.21,0.21,0.51,0.29,0.02,0.67,0.19,1.99,0.86,2.41,9.18,75.56,12.8,0.86,5.92,2.14,1.21,0.88,0.91,0.08,0.7,17.31,0.06,0.61,16.01,0.04,10.06,5.6,4.47,5.57,3.92,0.03,11.54,4.31,2.05,1.14,147.57,1.48,149.05
1983,Annual,23.8,16.35,5.19,1.27,0.99,54.16,8,4.28,2.43,0.62,0.66,33.49,0.06,0.93,22.27,3.42,1.2,0.24,0.24,0.58,0.33,0.02,0.86,0.21,3.15,0.82,3.53,8.33,79.22,16.07,0.89,5.81,2.09,1.04,1,0.9,0.09,0.69,17.12,0.07,0.69,15.99,0.04,8.83,5.92,2.91,6.6,3.73,0.03,12.11,4.53,2.16,1.3,157.18,1.57,158.75
1984,Annual,30.37,21.5,6.62,1.38,0.87,50.33,9.89,5.24,3.5,0.57,0.58,29.42,0.06,0.61,19.55,3,1.05,0.21,0.21,0.51,0.29,0.02,0.68,0.19,3.05,0.8,3.18,7.04,83.51,16.63,1.06,5.85,2.34,1.03,0.82,0.94,0.1,0.6,17.78,0.06,0.78,16.41,0.05,10.78,7.32,3.46,6.21,3.87,0.03,12.74,4.76,2.27,1.47,164.21,1.64,165.85
1985,Annual,34.24,25.07,7.16,1.47,0.54,62.86,14,6.59,6.54,0.45,0.43,39.55,0.11,3.53,24.75,3.8,1.33,0.26,0.27,0.64,0.36,0.03,0.93,0.24,3.3,0.89,2.77,5.66,88.88,17.77,1.02,7.28,3.4,1.24,0.77,1.1,0.1,0.67,17.84,0.08,0.73,16.3,0.05,11.83,8.35,3.48,6.58,4.33,0.03,13.39,5,2.38,1.38,185.98,1.85,187.83
1986,Annual,35.7,25.97,7.39,1.57,0.77,65.05,12.43,5.54,6.54,0.11,0.24,41.63,0.05,4.79,24.98,3.83,1.34,0.26,0.27,0.65,0.37,0.03,1.27,0.24,3.54,0.67,3.23,7.09,95.42,18.36,1.06,7.48,3.56,1.31,0.8,1.02,0.11,0.68,18.81,0.08,0.8,17.17,0.05,14.2,10.32,3.89,7.26,4.86,0.04,14.04,5.25,2.5,1.51,196.17,1.95,198.12
1987,Annual,50.29,39.66,8.37,1.59,0.66,80.47,22.29,15.48,5.89,0.65,0.28,45.96,0.19,4.23,28.66,4.4,1.54,0.3,0.31,0.74,0.42,0.03,1.07,0.27,3.79,0.7,3.49,8.03,111.51,28.66,1.06,7.5,3.85,0.89,0.85,1.11,0.12,0.69,20.22,0.09,0.88,18.41,0.06,16.76,12.1,4.66,7.4,5.37,0.04,14.68,5.49,2.61,1.66,242.26,2.42,244.68
1988,Annual,73.76,61.85,8.89,1.86,1.17,102.94,22.56,17.3,4.25,0.7,0.32,66.34,0.24,5.67,42.56,6.53,2.28,0.45,0.47,1.1,0.63,0.05,1.08,0.41,4.88,0.71,4.22,9.11,135.8,40.14,1.07,7.89,4.16,0.75,0.94,1.17,0.13,0.73,21.74,0.13,0.95,19.75,0.06,21.21,15.66,5.56,7.81,6.12,0.05,18,6.73,3.21,1.78,312.5,3.11,315.62
1989,Annual,88.26,71.88,11.79,2.17,2.41,146.83,49.83,44.33,4.2,0.71,0.59,76.14,0.71,8.95,46.72,7.17,2.51,0.5,0.51,1.21,0.69,0.05,1.36,0.44,5.33,2.02,4.6,14.23,175.68,62.61,1.13,7.96,4.51,0.55,0.84,1.18,0.14,0.74,23.27,0.15,1.03,21.17,0.07,29.7,23.23,6.47,11.07,6.78,0.05,20.05,7.49,3.57,1.93,410.77,4.09,414.86
1990,Annual,106.63,86.93,14.15,2.35,3.21,175.15,63.69,58.06,4.25,0.73,0.66,87.96,0.73,6.76,56.72,8.7,3.04,0.6,0.62,1.47,0.84,0.06,1.78,0.54,6.09,2.2,5.24,16.06,207.98,69.33,1.19,8.94,5.23,0.57,0.85,1.38,0.15,0.75,27.14,0.18,1.15,24.67,0.07,44.22,37.69,6.53,12.72,7.75,0.06,22.17,8.29,3.95,2.16,489.77,4.88,494.64
